ADM3_EN,ADM3_PCODE,ADM2_EN,ADM2_PCODE,ADM1_EN,ADM1_PCODE,ADM0_EN,ADM0_PCODE,date,validOn,validTo,ADM3_REF,ADM3ALT1EN,Shape_Leng,Shape_Area,AREA_SQKM,Long,Lat
Santa Rita,PH0305420,Pampanga,PH03054,Region III (Central Luzon),PH03,Philippines (the),PH,2022/11/09,2023/11/06,,,,0.21625924297,0.00181884971,21.64319271010,120.59455079,15.01724157
Sto. Tomas,PH0305421,Pampanga,PH03054,Region III (Central Luzon),PH03,Philippines (the),PH,2022/11/09,2023/11/06,,,,0.19362171661,0.00116474772,13.86084486170,120.71507538,15.00042766
Sasmuan (Sexmoan),PH0305422,Pampanga,PH03054,Region III (Central Luzon),PH03,Philippines (the),PH,2022/11/09,2023/11/06,,,Sexmoan,0.48909145324,0.00336670133,40.08579128570,120.62035357,14.88475643
Anao,PH0306901,Tarlac,PH03069,Region III (Central Luzon),PH03,Philippines (the),PH,2022/11/09,2023/11/06,,,,0.23279128709,0.00214497228,25.43820343880,120.61518407,15.73541378
Bamban,PH0306902,Tarlac,PH03069,Region III (Central Luzon),PH03,Philippines (the),PH,2022/11/09,2023/11/06,,,,0.78092136482,0.01745437124,207.47839250700,120.46693446,15.24531060
Camiling,PH0306903,Tarlac,PH03069,Region III (Central Luzon),PH03,Philippines (the),PH,2022/11/09,2023/11/06,,,,0.57612773194,0.01107628525,131.39174483800,120.41124637,15.68286845
Capas,PH0306904,Tarlac,PH03069,Region III (Central Luzon),PH03,Philippines (the),PH,2022/11/09,2023/11/06,,,,0.92504689400,0.03757605961,446.47834914800,120.44018375,15.33413139
Concepcion,PH0306905,Tarlac,PH03069,Region III (Central Luzon),PH03,Philippines (the),PH,2022/11/09,2023/11/06,,,,0.62242240917,0.01793469033,213.09809536700,120.66883138,15.33585089
Gerona,PH0306906,Tarlac,PH03069,Region III (Central Luzon),PH03,Philippines (the),PH,2022/11/09,2023/11/06,,,,0.50362424611,0.01030964923,122.34883301900,120.56455127,15.59493013
La Paz,PH0306907,Tarlac,PH03069,Region III (Central Luzon),PH03,Philippines (the),PH,2022/11/09,2023/11/06,,,,0.58439729715,0.00974276031,115.70271155900,120.71610015,15.44602477
Mayantoc,PH0306908,Tarlac,PH03069,Region III (Central Luzon),PH03,Philippines (the),PH,2022/11/09,2023/11/06,,,,0.70286910563,0.02022755363,240.08967424500,120.30983809,15.55891016
Moncada,PH0306909,Tarlac,PH03069,Region III (Central Luzon),PH03,Philippines (the),PH,2022/11/09,2023/11/06,,,,0.45407737524,0.00857887725,101.74105473800,120.54676319,15.73490886
Paniqui,PH0306910,Tarlac,PH03069,Region III (Central Luzon),PH03,Philippines (the),PH,2022/11/09,2023/11/06,,,,0.47691925621,0.00898923524,106.64392937700,120.54295444,15.66387065
Pura,PH0306911,Tarlac,PH03069,Region III (Central Luzon),PH03,Philippines (the),PH,2022/11/09,2023/11/06,,,,0.25659148645,0.00270688661,32.11953092390,120.64773656,15.62244498
Ramos,PH0306912,Tarlac,PH03069,Region III (Central Luzon),PH03,Philippines (the),PH,2022/11/09,2023/11/06,,,,0.22023188375,0.00216948887,25.73652771660,120.62950568,15.67394005
San Clemente,PH0306913,Tarlac,PH03069,Region III (Central Luzon),PH03,Philippines (the),PH,2022/11/09,2023/11/06,,,,0.56414865026,0.00600797240,71.27505251270,120.32935909,15.66564143
San Manuel,PH0306914,Tarlac,PH03069,Region III (Central Luzon),PH03,Philippines (the),PH,2022/11/09,2023/11/06,,,,0.23496578018,0.00275653773,32.67855300500,120.59880368,15.81484341
Santa Ignacia,PH0306915,Tarlac,PH03069,Region III (Central Luzon),PH03,Philippines (the),PH,2022/11/09,2023/11/06,,,,0.52991630149,0.01107655674,131.45882843200,120.44777959,15.58082242
City of Tarlac (Capital),PH0306916,Tarlac,PH03069,Region III (Central Luzon),PH03,Philippines (the),PH,2022/11/09,2023/11/06,,,,0.74254224754,0.02210522501,262.47261597600,120.59614593,15.48146565
Victoria,PH0306917,Tarlac,PH03069,Region III (Central Luzon),PH03,Philippines (the),PH,2022/11/09,2023/11/06,,,,0.50081881520,0.00923974093,109.66356897900,120.68725607,15.57229890
San Jose,PH0306918,Tarlac,PH03069,Region III (Central Luzon),PH03,Philippines (the),PH,2022/11/09,2023/11/06,,,,1.08397969974,0.05016970728,595.83013518100,120.33378571,15.43650977
Botolan,PH0307101,Zambales,PH03071,Region III (Central Luzon),PH03,Philippines (the),PH,2022/11/09,2023/11/06,,,,1.16912552741,0.05620605445,668.13900327800,120.19339135,15.23771873
Cabangan,PH0307102,Zambales,PH03071,Region III (Central Luzon),PH03,Philippines (the),PH,2022/11/09,2023/11/06,,,,0.56820020349,0.01731135246,205.85852396700,120.11486579,15.16107014
Candelaria,PH0307103,Zambales,PH03071,Region III (Central Luzon),PH03,Philippines (the),PH,2022/11/09,2023/11/06,,,,0.96440151947,0.03572951726,423.94391815200,120.08510368,15.63106917
Castillejos,PH0307104,Zambales,PH03071,Region III (Central Luzon),PH03,Philippines (the),PH,2022/11/09,2023/11/06,,,,0.54792253050,0.00874334666,104.08262988100,120.20450273,14.92815872
Iba (Capital),PH0307105,Zambales,PH03071,Region III (Central Luzon),PH03,Philippines (the),PH,2022/11/09,2023/11/06,,,,0.64793327377,0.01181370675,140.34833519500,120.03651997,15.36772435
